id,date,product_id,product_name,quantity,price,type
1,2025-11-13T19:45:39.522401,1,Ноутбук HP Pavilion,2,45000,Продажа
2,2025-11-13T19:45:49.282826,1,Ноутбук HP Pavilion,1,45000,Продажа
3,2025-11-13T19:45:58.513915,6,Наушники Sony WH-1000XM4,6,12000,Списание: hgh
4,2025-11-13T19:48:09.492294,2,Мышь Logitech MX Master,1,1200,Продажа
5,2025-11-13T20:08:33.219414,1,Ноутбук HP Pavilion,1,45000,Продажа
6,2025-11-13T20:08:33.219998,4,"Монитор 24"""" Samsung",1,15000,Продажа
7,2025-11-13T20:10:16.581249,5,Веб-камера Logitech,2,800,Продажа
8,2025-11-13T20:10:31.667400,2,Мышь Logitech MX Master,1,1200,Продажа
9,2025-11-13T20:10:31.668027,3,Клавиатура механическая,1,2500,Продажа
10,2025-11-13T20:14:33.651227,2,Мышь Logitech MX Master,2,1200,Продажа
11,2025-11-13T20:14:33.651875,3,Клавиатура механическая,1,2500,Продажа
